"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"59","ENSMUSG00000001663","Gstt1",0,0,0,1,0,4.62395377546431,4.10146660393616,4.36520381732873,2.87303589045875,5.06615996102244,4.83688212556239,3.89814012030967,4.7507340199163,2.97778872176109,3.20997032269746,3.27714683584393,3.60129514700552
"60","ENSMUSG00000001707","Eef1e1",0,1,-1,-1,0,8.62644326224963,8.48352614030248,8.78051502034567,8.51454887706716,8.95460652035908,9.07936746223391,9.57401821154132,9.30045561381235,8.76556421458595,8.78717208404709,11.0009978159812,10.2200888208476
"61","ENSMUSG00000001768","Rin2",0,0,0,1,0,7.4464568589696,7.61519581610193,7.5521018403141,7.72709157788456,8.02307735428125,7.38023899850498,7.83923028718823,7.64467606447444,7.19674691635161,7.63842296787381,5.81732099701483,7.15302087416613
"62","ENSMUSG00000001774","Chordc1",0,1,-1,-1,0,10.8121560415352,10.7121896359681,10.7946431851382,10.6754528653072,10.9634032524494,10.9620983593855,11.2205701478063,11.0995849777637,10.698824261202,10.6471296043394,13.5002796282697,11.6486466014767
"63","ENSMUSG00000001785","Pwp1",0,1,0,0,1,10.132797806181,10.0333842197376,10.1893405572607,9.94059362912557,11.153747400776,11.1951718927489,11.7054236998402,11.7782404197741,10.0857055512584,10.2610922126894,12.4035992677724,11.9085750354569
"64","ENSMUSG00000001901","Kcnh6",0,-1,1,1,0,6.4686905203478,5.99171243108587,6.74902613206644,7.12449986345611,5.97735518731657,5.96835334327206,6.59587667174745,5.9676162489539,7.03552616452961,6.57072797928051,5.25422393042167,4.86905861884983
"65","ENSMUSG00000001986","Gria3",0,0,1,1,1,6.45813645660854,6.62181887855705,6.58252734584713,6.93162203951041,9.55510474237196,9.75848093693114,10.1820825831647,9.89206444885464,7.16591194061684,6.84793641825868,6.26468484587579,7.21753987176873
"66","ENSMUSG00000001995","Sipa1l2",0,-1,0,0,0,10.2360230834862,10.2985201212892,10.1808654449659,10.434086031004,9.42042295585102,9.57396287302184,9.68094571674348,9.95079253714635,10.3181887786047,10.2795024227062,9.05337874506604,8.62111501885223
"67","ENSMUSG00000002007","Srpk3",0,-1,0,0,-1,11.5547677556902,11.5683288800818,11.457330057531,11.6477510971936,9.2208978337535,9.20484975644451,9.34210147195644,10.030246128705,11.7738626645366,11.912723033881,10.4420602215917,10.5218158158367
"68","ENSMUSG00000002068","Ccne1",0,-1,0,0,-1,9.07110536881188,9.12544763612477,8.92380732829733,9.1149436422955,7.53163731381062,7.50561210748919,7.49115064895731,7.97914378963564,8.93972285807954,9.19750662482463,7.73073413341465,7.27929659631053
"69","ENSMUSG00000002083","Bbc3",0,0,1,1,1,6.61838223102985,6.5639481950528,6.45979369118608,6.40355327990684,12.2691671233882,12.2459690714559,12.4639228178681,12.6853058055025,5.90303827172663,5.86503433018852,5.72714620196632,6.3159754282417
"70","ENSMUSG00000002102","Psmc3",0,1,0,0,0,11.2153353187343,10.9734285858557,11.1532235460074,10.7691668153395,11.6533019528544,11.4812657124417,11.915057507153,12.0669250122575,11.0612211637035,11.1129412439484,12.72276444051,12.3821836007403
"71","ENSMUSG00000002265","Peg3",0,0,0,0,1,4.66123835553876,5.36366419569712,4.87784369595128,5.40086560795049,6.25574854985669,7.13061886903661,5.30214384970784,5.16336339923215,5.61418632395543,4.53991287647176,4.39801536353748,6.04085594595891
"72","ENSMUSG00000002289","Angptl4",0,1,-1,-1,0,7.02105271634565,7.3805611591614,7.29819237758855,6.70891923174961,7.06690104378808,6.13286789799188,6.938269104821,6.95076886054406,6.91089252783785,6.5573780692593,7.9853485173517,8.02855416566505
"73","ENSMUSG00000002308","Cd320",0,1,0,0,1,6.359505651611,6.36142520772616,6.29005715573923,6.17360839914006,7.67105685271966,7.49052348444643,8.48054150197293,8.37744527277633,6.56590176846297,6.40174704377964,8.98692888036003,8.49013055697331
"74","ENSMUSG00000002319","Ipo4",0,1,0,0,1,9.53123117465291,9.56961408468008,9.66182412984287,9.86027053969589,11.4907146515958,11.6503301189834,11.9165850128684,11.91202341688,9.59642583851141,9.81888959748251,12.2548780127762,12.0826698022385
"75","ENSMUSG00000002343","Armc6",0,1,-1,-1,0,7.77456937172889,7.60375328259214,7.82499840089518,7.80961334072845,7.93095075948478,7.59297285106832,8.50782131400765,8.62554051862423,7.82883465116695,7.81707822789817,9.92318435575575,9.12228540212802
"76","ENSMUSG00000002346","Slc25a42",0,0,1,1,1,8.53147823390542,8.70851834528131,8.55549942003672,9.14703763724754,10.8463897229518,11.0144624623175,11.1242657504855,11.2729348070745,8.69172026080049,8.57170556547675,8.78197791450453,8.60009356446894
"77","ENSMUSG00000002658","Gtf2f1",0,1,0,0,1,10.6776121730246,10.4020623400388,10.5542977627765,10.2522774037378,11.6706158178092,11.7597818423402,11.754648768903,11.9153567721065,10.3698372319956,10.4723293362397,12.495523399937,12.3318395594684
"78","ENSMUSG00000002660","Clpp",0,1,0,0,0,8.97813405233496,8.8772068432353,9.01108336110062,8.81811545260549,9.48664072395773,9.6232165245609,9.76248438880846,9.91127144570727,8.96680983825363,8.94415070269877,10.757949331035,10.4175340097429
"79","ENSMUSG00000002668","Dennd1c",0,-1,0,0,0,11.6058613622684,11.8211377604566,11.5377552399806,11.8360522541952,11.0259747827404,11.0341070274419,10.8747288848876,11.0168834944992,11.7532669016583,11.6358340248703,10.2272289129715,10.4739222319279
